,x,y,z,CONFD
0,0.0,0.0,1.0,0.7772998611746911
1,0.0,0.01,0.99,0.7772998611746911
2,0.0,0.02,0.98,0.7772998611746911
3,0.0,0.03,0.97,0.7772998611746911
4,0.0,0.04,0.96,0.7772998611746911
5,0.0,0.05,0.95,0.7772998611746911
6,0.0,0.06,0.94,0.7772998611746911
7,0.0,0.07,0.93,0.7772998611746911
8,0.0,0.08,0.92,0.7772998611746911
9,0.0,0.09,0.91,0.7772998611746911
10,0.0,0.1,0.9,0.7772998611746911
11,0.0,0.11,0.89,0.7772998611746911
12,0.0,0.12,0.88,0.7772998611746911
13,0.0,0.13,0.87,0.7772998611746911
14,0.0,0.14,0.86,0.7772998611746911
15,0.0,0.15,0.85,0.7772998611746911
16,0.0,0.16,0.84,0.7772998611746911
17,0.0,0.17,0.83,0.7772998611746911
18,0.0,0.18,0.82,0.7772998611746911
19,0.0,0.19,0.81,0.7772998611746911
20,0.0,0.2,0.8,0.7772998611746911
21,0.0,0.21,0.79,0.7772998611746911
22,0.0,0.22,0.78,0.7772998611746911
23,0.0,0.23,0.77,0.7772998611746911
24,0.0,0.24,0.76,0.7772998611746911
25,0.0,0.25,0.75,0.7772998611746911
26,0.0,0.26,0.74,0.7772998611746911
27,0.0,0.27,0.73,0.7772998611746911
28,0.0,0.28,0.72,0.7772998611746911
29,0.0,0.29,0.71,0.7772998611746911
30,0.0,0.3,0.7,0.7772998611746911
31,0.0,0.31,0.69,0.7772998611746911
32,0.0,0.32,0.68,0.7772998611746911
33,0.0,0.33,0.67,0.7772998611746911
34,0.0,0.34,0.66,0.7772998611746911
35,0.0,0.35,0.65,0.7772998611746911
36,0.0,0.36,0.64,0.7772998611746911
37,0.0,0.37,0.63,0.7772998611746911
38,0.0,0.38,0.62,0.7772998611746911
39,0.0,0.39,0.61,0.7772998611746911
40,0.0,0.4,0.6,0.7772998611746911
41,0.0,0.41,0.59,0.7772998611746911
42,0.0,0.42,0.58,0.7772998611746911
43,0.0,0.43,0.57,0.7772998611746911
44,0.0,0.44,0.56,0.7772998611746911
45,0.0,0.45,0.55,0.7772998611746911
46,0.0,0.46,0.54,0.7772998611746911
