,g,C,ERR
63,1.41,22600,0.19999999999999998
64,1.0,600,0.2
65,0.57,1000,0.2
66,0.35,2800,0.2
67,0.3,3000,0.2
68,0.23,5000,0.2
69,0.24,5600,0.2
70,0.11,11800,0.2
71,0.15,15200,0.2
72,0.22,16600,0.2
73,0.12,20600,0.2
74,0.12,23000,0.2
75,0.11,24200,0.2
76,0.95,200,0.21428571428571425
77,1.04,200,0.21428571428571425
78,1.07,200,0.21428571428571425
79,1.27,200,0.21428571428571425
80,1.28,200,0.21428571428571425
81,1.32,200,0.21428571428571425
82,1.47,200,0.21428571428571425
83,1.49,200,0.21428571428571425
84,0.56,400,0.21428571428571425
85,0.61,400,0.21428571428571425
86,0.7,400,0.21428571428571425
87,0.88,400,0.21428571428571425
88,0.89,400,0.21428571428571425
89,1.44,400,0.21428571428571425
90,0.46,600,0.21428571428571425
91,0.48,600,0.21428571428571425
92,0.5,600,0.21428571428571425
93,0.62,600,0.21428571428571425
94,0.68,600,0.21428571428571425
95,0.71,600,0.21428571428571425
96,0.72,600,0.21428571428571425
97,0.75,600,0.21428571428571425
98,0.81,600,0.21428571428571425
99,1.13,600,0.21428571428571425
100,0.47,800,0.21428571428571425
101,0.51,800,0.21428571428571425
102,0.57,800,0.21428571428571425
103,0.58,800,0.21428571428571425
104,0.59,800,0.21428571428571425
105,0.79,800,0.21428571428571425
106,1.27,800,0.21428571428571425
107,0.55,1000,0.21428571428571425
108,0.42,1200,0.21428571428571425
109,0.23,1400,0.21428571428571425
110,0.47,1400,0.21428571428571425
111,0.49,1400,0.21428571428571425
112,0.47,1600,0.21428571428571425
113,0.53,1600,0.21428571428571425
114,1.46,1600,0.21428571428571425
115,0.26,1800,0.21428571428571425
116,0.42,1800,0.21428571428571425
117,0.46,1800,0.21428571428571425
118,0.47,1800,0.21428571428571425
119,0.3,2000,0.21428571428571425
120,1.08,2000,0.21428571428571425
121,0.39,2200,0.21428571428571425
122,0.27,2400,0.21428571428571425
123,0.29,2400,0.21428571428571425
124,1.11,2400,0.21428571428571425
125,0.26,2600,0.21428571428571425
126,0.27,2800,0.21428571428571425
127,0.29,2800,0.21428571428571425
128,0.31,3000,0.21428571428571425
129,0.46,3000,0.21428571428571425
130,0.54,3000,0.21428571428571425
131,0.33,3200,0.21428571428571425
132,0.8,3200,0.21428571428571425
133,0.48,3400,0.21428571428571425
134,0.71,3400,0.21428571428571425
135,0.24,3600,0.21428571428571425
136,0.34,3600,0.21428571428571425
137,0.38,4000,0.21428571428571425
138,0.47,4000,0.21428571428571425
139,0.49,4000,0.21428571428571425
140,0.5,4200,0.21428571428571425
141,0.95,4200,0.21428571428571425
142,0.16,4400,0.21428571428571425
143,0.86,4400,0.21428571428571425
144,0.26,4600,0.21428571428571425
145,0.45,4600,0.21428571428571425
146,0.11,4800,0.21428571428571425
147,0.28,4800,0.21428571428571425
148,0.28,5000,0.21428571428571425
149,0.22,5200,0.21428571428571425
150,0.3,5200,0.21428571428571425
151,0.4,5200,0.21428571428571425
152,0.41,5200,0.21428571428571425
153,0.62,5200,0.21428571428571425
154,0.23,5400,0.21428571428571425
155,0.38,5400,0.21428571428571425
156,0.15,5600,0.21428571428571425
157,0.31,5600,0.21428571428571425
158,1.27,5800,0.21428571428571425
159,0.25,6000,0.21428571428571425
160,0.28,6000,0.21428571428571425
161,0.37,6000,0.21428571428571425
162,0.3,6400,0.21428571428571425
163,0.59,6400,0.21428571428571425
164,0.55,6600,0.21428571428571425
165,0.68,6600,0.21428571428571425
166,0.18,6800,0.21428571428571425
167,0.19,6800,0.21428571428571425
168,0.22,6800,0.21428571428571425
169,0.14,7200,0.21428571428571425
170,0.2,7200,0.21428571428571425
171,0.3,7200,0.21428571428571425
172,0.14,7400,0.21428571428571425
173,0.2,7400,0.21428571428571425
174,0.23,7400,0.21428571428571425
175,0.26,7400,0.21428571428571425
176,0.28,7600,0.21428571428571425
177,0.54,7600,0.21428571428571425
178,0.67,7600,0.21428571428571425
179,1.49,7800,0.21428571428571425
