,water,oil,surf
227,0.35,0.41,0.24
228,0.36,0.0,0.64
229,0.36,0.01,0.63
230,0.36,0.02,0.62
231,0.36,0.03,0.61
232,0.36,0.04,0.6
233,0.36,0.05,0.59
234,0.36,0.06,0.58
235,0.36,0.07,0.57
236,0.36,0.08,0.56
237,0.36,0.09,0.55
238,0.36,0.1,0.54
239,0.36,0.11,0.53
240,0.36,0.12,0.52
241,0.36,0.13,0.51
242,0.36,0.14,0.5
243,0.36,0.15,0.49
244,0.36,0.16,0.48
245,0.36,0.17,0.47
246,0.36,0.18,0.46
247,0.36,0.19,0.45
248,0.36,0.2,0.44
249,0.36,0.21,0.43
250,0.36,0.22,0.42
251,0.36,0.33,0.31
252,0.36,0.34,0.3
253,0.36,0.35,0.29
254,0.36,0.36,0.28
255,0.36,0.37,0.27
256,0.36,0.38,0.26
257,0.36,0.39,0.25
258,0.36,0.4,0.24
259,0.36,0.41,0.23
260,0.37,0.0,0.63
261,0.37,0.01,0.62
262,0.37,0.02,0.61
263,0.37,0.03,0.6
264,0.37,0.04,0.59
265,0.37,0.05,0.58
266,0.37,0.06,0.57
267,0.37,0.07,0.56
268,0.37,0.08,0.55
269,0.37,0.09,0.54
270,0.37,0.1,0.53
271,0.37,0.11,0.52
272,0.37,0.12,0.51
273,0.37,0.13,0.5
274,0.37,0.14,0.49
275,0.37,0.15,0.48
276,0.37,0.16,0.47
277,0.37,0.17,0.46
278,0.37,0.18,0.45
279,0.37,0.19,0.44
280,0.37,0.2,0.43
281,0.37,0.21,0.42
282,0.37,0.32,0.31
283,0.37,0.33,0.3
284,0.37,0.34,0.29
285,0.37,0.35,0.28
286,0.37,0.36,0.27
287,0.37,0.37,0.26
288,0.37,0.38,0.25
289,0.37,0.39,0.24
290,0.37,0.4,0.23
291,0.38,0.0,0.62
292,0.38,0.01,0.61
293,0.38,0.02,0.6
294,0.38,0.03,0.59
295,0.38,0.04,0.58
296,0.38,0.05,0.57
297,0.38,0.06,0.56
298,0.38,0.07,0.55
299,0.38,0.08,0.54
300,0.38,0.09,0.53
301,0.38,0.1,0.52
302,0.38,0.11,0.51
303,0.38,0.12,0.5
304,0.38,0.13,0.49
305,0.38,0.14,0.48
306,0.38,0.15,0.47
307,0.38,0.16,0.46
308,0.38,0.17,0.45
309,0.38,0.18,0.44
310,0.38,0.19,0.43
311,0.38,0.2,0.42
312,0.38,0.21,0.41
313,0.38,0.31,0.31
314,0.38,0.32,0.3
315,0.38,0.33,0.29
316,0.38,0.34,0.28
317,0.38,0.35,0.27
318,0.38,0.36,0.26
319,0.38,0.37,0.25
320,0.38,0.38,0.24
321,0.38,0.39,0.23
322,0.38,0.4,0.22
323,0.39,0.0,0.61
324,0.39,0.01,0.6
325,0.39,0.02,0.59
326,0.39,0.03,0.58
327,0.39,0.04,0.57
328,0.39,0.05,0.56
329,0.39,0.06,0.55
330,0.39,0.07,0.54
331,0.39,0.08,0.53
332,0.39,0.09,0.52
333,0.39,0.1,0.51
334,0.39,0.11,0.5
335,0.39,0.12,0.49
336,0.39,0.13,0.48
337,0.39,0.14,0.47
338,0.39,0.15,0.46
339,0.39,0.16,0.45
340,0.39,0.17,0.44
341,0.39,0.18,0.43
342,0.39,0.19,0.42
343,0.39,0.2,0.41
344,0.39,0.31,0.3
345,0.39,0.32,0.29
346,0.39,0.33,0.28
347,0.39,0.34,0.27
348,0.39,0.35,0.26
349,0.39,0.36,0.25
350,0.39,0.37,0.24
351,0.39,0.38,0.23
352,0.39,0.39,0.22
353,0.39,0.4,0.21
354,0.39,0.41,0.2
355,0.4,0.0,0.6
356,0.4,0.01,0.59
357,0.4,0.02,0.58
358,0.4,0.03,0.57
359,0.4,0.04,0.56
360,0.4,0.05,0.55
361,0.4,0.06,0.54
362,0.4,0.07,0.53
363,0.4,0.08,0.52
364,0.4,0.09,0.51
365,0.4,0.1,0.5
366,0.4,0.11,0.49
367,0.4,0.12,0.48
368,0.4,0.13,0.47
369,0.4,0.14,0.46
370,0.4,0.15,0.45
371,0.4,0.16,0.44
372,0.4,0.17,0.43
373,0.4,0.18,0.42
374,0.4,0.19,0.41
375,0.4,0.2,0.4
376,0.4,0.31,0.29
377,0.4,0.32,0.28
378,0.4,0.33,0.27
379,0.4,0.34,0.26
380,0.4,0.35,0.25
381,0.4,0.36,0.24
382,0.4,0.37,0.23
383,0.4,0.38,0.22
384,0.4,0.39,0.21
385,0.4,0.4,0.2
386,0.4,0.41,0.19
387,0.41,0.0,0.59
388,0.41,0.01,0.58
389,0.41,0.02,0.57
390,0.41,0.03,0.56
391,0.41,0.04,0.55
392,0.41,0.05,0.54
393,0.41,0.06,0.53
394,0.41,0.07,0.52
395,0.41,0.08,0.51
396,0.41,0.09,0.5
397,0.41,0.1,0.49
398,0.41,0.11,0.48
399,0.41,0.12,0.47
400,0.41,0.13,0.46
401,0.41,0.14,0.45
402,0.41,0.15,0.44
403,0.41,0.16,0.43
404,0.41,0.17,0.42
405,0.41,0.18,0.41
406,0.41,0.19,0.4
407,0.41,0.2,0.39
408,0.41,0.31,0.28
409,0.41,0.32,0.27
410,0.41,0.33,0.26
411,0.41,0.34,0.25
412,0.41,0.35,0.24
413,0.41,0.36,0.23
414,0.41,0.37,0.22
415,0.41,0.38,0.21
416,0.41,0.39,0.2
417,0.41,0.4,0.19
418,0.41,0.41,0.18
419,0.41,0.42,0.17
420,0.41,0.43,0.16
421,0.42,0.0,0.58
422,0.42,0.01,0.57
423,0.42,0.02,0.56
424,0.42,0.03,0.55
425,0.42,0.04,0.54
426,0.42,0.05,0.53
427,0.42,0.06,0.52
428,0.42,0.07,0.51
429,0.42,0.08,0.5
430,0.42,0.09,0.49
431,0.42,0.1,0.48
432,0.42,0.11,0.47
433,0.42,0.12,0.46
434,0.42,0.13,0.45
435,0.42,0.14,0.44
436,0.42,0.15,0.43
437,0.42,0.16,0.42
438,0.42,0.17,0.41
439,0.42,0.18,0.4
440,0.42,0.19,0.39
441,0.42,0.2,0.38
442,0.42,0.3,0.28
443,0.42,0.31,0.27
444,0.42,0.32,0.26
445,0.42,0.33,0.25
446,0.42,0.34,0.24
447,0.42,0.35,0.23
448,0.42,0.36,0.22
449,0.42,0.37,0.21
450,0.42,0.38,0.2
451,0.42,0.39,0.19
452,0.42,0.4,0.18
453,0.42,0.41,0.17
454,0.42,0.42,0.16
455,0.42,0.43,0.15
456,0.42,0.44,0.14
457,0.42,0.45,0.13
458,0.42,0.46,0.12
459,0.43,0.0,0.57
460,0.43,0.01,0.56
461,0.43,0.02,0.55
462,0.43,0.03,0.54
463,0.43,0.04,0.53
464,0.43,0.05,0.52
465,0.43,0.06,0.51
466,0.43,0.07,0.5
467,0.43,0.08,0.49
468,0.43,0.09,0.48
469,0.43,0.1,0.47
470,0.43,0.11,0.46
471,0.43,0.12,0.45
472,0.43,0.13,0.44
473,0.43,0.14,0.43
474,0.43,0.15,0.42
475,0.43,0.16,0.41
476,0.43,0.17,0.4
477,0.43,0.18,0.39
478,0.43,0.19,0.38
479,0.43,0.2,0.37
480,0.43,0.3,0.27
481,0.43,0.31,0.26
482,0.43,0.32,0.25
483,0.43,0.33,0.24
484,0.43,0.34,0.23
485,0.43,0.35,0.22
486,0.43,0.36,0.21
487,0.43,0.37,0.2
488,0.43,0.38,0.19
489,0.43,0.39,0.18
490,0.43,0.4,0.17
491,0.43,0.41,0.16
492,0.43,0.42,0.15
493,0.43,0.43,0.14
494,0.43,0.44,0.13
495,0.43,0.45,0.12
496,0.43,0.46,0.11
497,0.43,0.47,0.1
498,0.43,0.48,0.09
499,0.43,0.49,0.08
500,0.44,0.0,0.56
501,0.44,0.01,0.55
502,0.44,0.02,0.54
503,0.44,0.03,0.53
504,0.44,0.04,0.52
505,0.44,0.05,0.51
506,0.44,0.06,0.5
507,0.44,0.07,0.49
508,0.44,0.08,0.48
509,0.44,0.09,0.47
510,0.44,0.1,0.46
511,0.44,0.11,0.45
512,0.44,0.12,0.44
513,0.44,0.13,0.43
514,0.44,0.14,0.42
515,0.44,0.15,0.41
516,0.44,0.16,0.4
517,0.44,0.17,0.39
518,0.44,0.18,0.38
519,0.44,0.19,0.37
520,0.44,0.2,0.36
521,0.44,0.29,0.27
522,0.44,0.3,0.26
523,0.44,0.31,0.25
524,0.44,0.32,0.24
525,0.44,0.33,0.23
526,0.44,0.34,0.22
527,0.44,0.35,0.21
528,0.44,0.36,0.2
529,0.44,0.37,0.19
530,0.44,0.38,0.18
531,0.44,0.39,0.17
532,0.44,0.4,0.16
533,0.44,0.41,0.15
534,0.44,0.42,0.14
535,0.44,0.43,0.13
536,0.44,0.44,0.12
537,0.44,0.45,0.11
538,0.44,0.46,0.1
539,0.44,0.47,0.09
540,0.44,0.48,0.08
541,0.44,0.49,0.07
542,0.44,0.5,0.06
543,0.45,0.0,0.55
544,0.45,0.01,0.54
545,0.45,0.02,0.53
546,0.45,0.03,0.52
547,0.45,0.04,0.51
548,0.45,0.05,0.5
549,0.45,0.06,0.49
550,0.45,0.07,0.48
551,0.45,0.08,0.47
552,0.45,0.09,0.46
553,0.45,0.1,0.45
554,0.45,0.11,0.44
555,0.45,0.12,0.43
556,0.45,0.13,0.42
557,0.45,0.14,0.41
558,0.45,0.15,0.4
559,0.45,0.16,0.39
560,0.45,0.17,0.38
561,0.45,0.18,0.37
562,0.45,0.19,0.36
563,0.45,0.2,0.35
564,0.45,0.29,0.26
565,0.45,0.3,0.25
566,0.45,0.31,0.24
567,0.45,0.32,0.23
568,0.45,0.33,0.22
569,0.45,0.34,0.21
570,0.45,0.35,0.2
571,0.45,0.36,0.19
572,0.45,0.37,0.18
573,0.45,0.38,0.17
574,0.45,0.39,0.16
575,0.45,0.4,0.15
576,0.45,0.41,0.14
577,0.45,0.42,0.13
578,0.45,0.43,0.12
579,0.45,0.44,0.11
580,0.45,0.45,0.1
581,0.45,0.46,0.09
582,0.45,0.47,0.08
583,0.45,0.48,0.07
584,0.45,0.49,0.06
585,0.45,0.5,0.05
586,0.46,0.0,0.54
587,0.46,0.01,0.53
588,0.46,0.02,0.52
589,0.46,0.03,0.51
590,0.46,0.04,0.5
591,0.46,0.05,0.49
592,0.46,0.06,0.48
593,0.46,0.07,0.47
594,0.46,0.08,0.46
595,0.46,0.09,0.45
596,0.46,0.1,0.44
597,0.46,0.11,0.43
598,0.46,0.12,0.42
599,0.46,0.13,0.41
600,0.46,0.14,0.4
601,0.46,0.15,0.39
602,0.46,0.16,0.38
603,0.46,0.17,0.37
604,0.46,0.18,0.36
605,0.46,0.19,0.35
606,0.46,0.2,0.34
607,0.46,0.21,0.33
608,0.46,0.28,0.26
