,water,oil,surf
997,0.55,0.21,0.24
998,0.55,0.22,0.23
999,0.55,0.23,0.22
1000,0.55,0.24,0.21
1001,0.55,0.25,0.2
1002,0.55,0.26,0.19
1003,0.55,0.27,0.18
1004,0.55,0.28,0.17
1005,0.55,0.29,0.16
1006,0.55,0.3,0.15
1007,0.55,0.31,0.14
1008,0.55,0.32,0.13
1009,0.55,0.33,0.12
1010,0.55,0.34,0.11
1011,0.55,0.35,0.1
1012,0.55,0.36,0.09
1013,0.55,0.37,0.08
1014,0.55,0.38,0.07
1015,0.55,0.39,0.06
1016,0.55,0.4,0.05
1017,0.55,0.41,0.04
1018,0.55,0.42,0.03
1019,0.55,0.43,0.02
1020,0.55,0.44,0.01
