,g,C,ERR
128,0.1,2800,0.17142857142857143
129,0.06,3600,0.17142857142857143
130,1.04,5000,0.17142857142857143
131,1.49,5000,0.17142857142857143
132,0.1,5200,0.17142857142857143
133,0.09,6200,0.17142857142857143
134,0.05,6400,0.17142857142857143
135,0.07,6800,0.17142857142857143
136,0.05,7000,0.17142857142857143
137,0.05,7800,0.17142857142857143
138,0.08,7800,0.17142857142857143
139,0.48,7800,0.17142857142857143
140,1.02,9400,0.17142857142857143
141,0.04,10200,0.17142857142857143
142,0.3,10200,0.17142857142857143
143,0.07,11200,0.17142857142857143
144,0.05,13600,0.17142857142857143
145,0.04,14600,0.17142857142857143
146,0.03,16200,0.17142857142857143
147,0.54,16400,0.17142857142857143
148,0.06,21800,0.17142857142857143
149,0.04,23600,0.17142857142857143
150,0.86,24600,0.17142857142857143
151,0.28,200,0.18571428571428567
152,0.4,200,0.18571428571428567
153,0.41,200,0.18571428571428567
154,0.42,200,0.18571428571428567
155,0.44,200,0.18571428571428567
156,0.47,200,0.18571428571428567
157,0.5,200,0.18571428571428567
158,0.51,200,0.18571428571428567
159,0.19,400,0.18571428571428567
160,0.21,400,0.18571428571428567
161,0.24,400,0.18571428571428567
162,0.29,400,0.18571428571428567
163,0.36,400,0.18571428571428567
164,0.37,400,0.18571428571428567
165,0.42,400,0.18571428571428567
166,0.18,600,0.18571428571428567
167,0.19,600,0.18571428571428567
168,0.2,600,0.18571428571428567
169,0.23,600,0.18571428571428567
170,0.24,600,0.18571428571428567
171,0.24,800,0.18571428571428567
172,0.25,800,0.18571428571428567
173,0.28,800,0.18571428571428567
174,0.29,800,0.18571428571428567
175,0.39,800,0.18571428571428567
176,0.46,800,0.18571428571428567
177,0.89,800,0.18571428571428567
178,0.95,800,0.18571428571428567
179,0.13,1000,0.18571428571428567
180,0.15,1000,0.18571428571428567
181,0.27,1000,0.18571428571428567
182,0.28,1000,0.18571428571428567
183,0.77,1000,0.18571428571428567
184,0.91,1000,0.18571428571428567
185,1.41,1000,0.18571428571428567
186,0.13,1200,0.18571428571428567
187,0.15,1200,0.18571428571428567
188,0.22,1200,0.18571428571428567
189,0.24,1200,0.18571428571428567
190,0.32,1200,0.18571428571428567
191,1.15,1200,0.18571428571428567
192,0.17,1400,0.18571428571428567
193,0.22,1400,0.18571428571428567
194,0.17,1600,0.18571428571428567
195,0.19,1600,0.18571428571428567
196,0.22,1600,0.18571428571428567
197,0.59,1600,0.18571428571428567
198,0.7,1600,0.18571428571428567
199,0.73,1600,0.18571428571428567
200,1.23,1600,0.18571428571428567
201,1.49,1600,0.18571428571428567
202,0.11,1800,0.18571428571428567
203,0.13,1800,0.18571428571428567
204,0.16,1800,0.18571428571428567
205,0.17,1800,0.18571428571428567
206,0.32,1800,0.18571428571428567
207,0.71,1800,0.18571428571428567
208,0.1,2000,0.18571428571428567
209,0.13,2000,0.18571428571428567
210,0.18,2000,0.18571428571428567
211,0.92,2000,0.18571428571428567
212,0.08,2200,0.18571428571428567
213,0.09,2200,0.18571428571428567
214,0.41,2200,0.18571428571428567
215,0.69,2200,0.18571428571428567
216,1.23,2200,0.18571428571428567
217,0.07,2400,0.18571428571428567
218,0.15,2400,0.18571428571428567
219,0.16,2400,0.18571428571428567
220,0.17,2400,0.18571428571428567
221,0.83,2400,0.18571428571428567
222,0.85,2400,0.18571428571428567
223,0.11,2600,0.18571428571428567
224,0.13,2600,0.18571428571428567
225,0.16,2600,0.18571428571428567
226,0.26,2600,0.18571428571428567
227,0.68,2600,0.18571428571428567
228,0.09,2800,0.18571428571428567
229,0.11,2800,0.18571428571428567
230,0.12,2800,0.18571428571428567
231,0.13,2800,0.18571428571428567
232,0.15,2800,0.18571428571428567
233,0.11,3000,0.18571428571428567
234,0.58,3000,0.18571428571428567
235,0.69,3000,0.18571428571428567
236,0.89,3000,0.18571428571428567
237,1.29,3000,0.18571428571428567
