,g,C,ERR
0,1.39,2400,0.2428571428571428
1,1.39,2800,0.2428571428571428
2,1.3,3400,0.2428571428571428
3,0.87,4000,0.2428571428571428
4,1.32,4600,0.2428571428571428
5,1.15,5800,0.2428571428571428
6,1.25,7200,0.2428571428571428
7,1.29,8600,0.2428571428571428
8,0.72,9400,0.2428571428571428
9,0.57,10800,0.2428571428571428
10,0.52,11400,0.2428571428571428
11,0.68,13800,0.2428571428571428
12,0.5,14400,0.2428571428571428
13,0.66,18400,0.2428571428571428
14,0.84,18400,0.2428571428571428
15,0.58,22400,0.2428571428571428
16,0.96,5400,0.24285714285714283
17,0.98,6200,0.24285714285714283
18,1.38,8600,0.24285714285714283
19,0.68,9600,0.24285714285714283
20,1.21,10600,0.24285714285714283
21,0.54,15800,0.24285714285714283
22,0.57,17800,0.24285714285714283
23,0.45,21000,0.24285714285714283
24,0.46,21000,0.24285714285714283
25,0.43,22400,0.24285714285714283
26,0.54,23800,0.24285714285714283
27,1.45,1000,0.25714285714285706
28,1.35,1800,0.25714285714285706
29,0.97,2200,0.25714285714285706
30,0.94,2600,0.25714285714285706
31,0.8,2800,0.25714285714285706
32,0.76,3400,0.25714285714285706
33,1.13,3600,0.25714285714285706
34,1.15,3800,0.25714285714285706
35,0.93,4000,0.25714285714285706
36,1.46,4800,0.25714285714285706
37,0.79,5000,0.25714285714285706
38,0.69,5200,0.25714285714285706
39,1.38,5200,0.25714285714285706
40,0.77,5600,0.25714285714285706
41,1.42,5800,0.25714285714285706
42,1.17,6000,0.25714285714285706
43,0.71,6800,0.25714285714285706
44,1.49,7200,0.25714285714285706
45,0.77,7400,0.25714285714285706
46,1.03,7800,0.25714285714285706
47,1.12,8000,0.25714285714285706
48,0.85,9000,0.25714285714285706
49,1.03,9600,0.25714285714285706
50,0.85,9800,0.25714285714285706
51,0.88,9800,0.25714285714285706
52,0.39,10200,0.25714285714285706
53,1.1,10400,0.25714285714285706
54,0.72,11400,0.25714285714285706
55,0.72,11600,0.25714285714285706
56,1.39,11800,0.25714285714285706
57,0.51,13000,0.25714285714285706
58,0.51,13400,0.25714285714285706
59,1.34,14200,0.25714285714285706
60,0.51,15000,0.25714285714285706
61,0.82,15200,0.25714285714285706
62,0.82,16200,0.25714285714285706
63,0.54,16600,0.25714285714285706
64,1.12,16800,0.25714285714285706
65,0.62,18000,0.25714285714285706
66,0.57,20200,0.25714285714285706
67,0.45,20800,0.25714285714285706
68,1.01,21600,0.25714285714285706
69,0.8,22600,0.25714285714285706
70,0.38,22800,0.25714285714285706
71,0.49,23000,0.25714285714285706
72,1.04,24400,0.25714285714285706
73,0.59,24600,0.25714285714285706
74,0.92,24800,0.25714285714285706
75,1.35,800,0.2571428571428571
76,0.06,1200,0.2571428571428571
77,1.17,1400,0.2571428571428571
78,1.47,1400,0.2571428571428571
79,1.16,1600,0.2571428571428571
80,1.18,1600,0.2571428571428571
81,1.2,2200,0.2571428571428571
82,1.3,2400,0.2571428571428571
83,0.92,2600,0.2571428571428571
84,1.35,2600,0.2571428571428571
85,0.92,3000,0.2571428571428571
86,0.84,3400,0.2571428571428571
87,0.87,3400,0.2571428571428571
88,1.15,3600,0.2571428571428571
89,0.77,4400,0.2571428571428571
90,0.8,4400,0.2571428571428571
91,0.79,4600,0.2571428571428571
92,1.23,4600,0.2571428571428571
93,1.15,4800,0.2571428571428571
94,1.18,5000,0.2571428571428571
95,1.18,5600,0.2571428571428571
96,0.94,5800,0.2571428571428571
97,1.31,5800,0.2571428571428571
98,0.75,6000,0.2571428571428571
99,1.45,6200,0.2571428571428571
100,0.66,6800,0.2571428571428571
101,0.72,7000,0.2571428571428571
