,g,C,ERR
0,0.62,200,0.2428571428571428
1,0.34,1000,0.2428571428571428
2,0.28,1200,0.2428571428571428
3,0.13,1600,0.2428571428571428
4,0.42,2000,0.2428571428571428
5,0.19,2600,0.2428571428571428
6,0.15,3800,0.2428571428571428
7,0.16,3800,0.2428571428571428
8,0.17,3800,0.2428571428571428
9,0.22,3800,0.2428571428571428
10,0.1,4400,0.2428571428571428
11,0.08,6400,0.2428571428571428
12,0.09,6400,0.2428571428571428
13,0.08,8200,0.2428571428571428
14,0.07,9800,0.2428571428571428
15,0.08,9800,0.2428571428571428
16,0.1,10400,0.2428571428571428
17,0.11,11800,0.2428571428571428
18,0.08,12200,0.2428571428571428
19,0.05,18600,0.2428571428571428
20,0.05,20600,0.2428571428571428
21,0.06,22400,0.2428571428571428
22,0.07,22800,0.2428571428571428
23,0.21,1200,0.24285714285714283
24,0.21,1600,0.24285714285714283
25,0.17,2600,0.24285714285714283
26,0.13,4400,0.24285714285714283
27,0.12,5000,0.24285714285714283
28,0.11,5200,0.24285714285714283
29,0.09,5400,0.24285714285714283
30,0.08,9400,0.24285714285714283
31,0.17,10600,0.24285714285714283
32,0.09,13200,0.24285714285714283
33,0.09,13600,0.24285714285714283
34,0.06,14000,0.24285714285714283
35,0.07,14800,0.24285714285714283
36,0.06,16400,0.24285714285714283
37,0.05,17000,0.24285714285714283
38,0.06,22000,0.24285714285714283
39,0.06,22800,0.24285714285714283
40,0.59,200,0.25714285714285706
41,0.3,400,0.25714285714285706
42,0.23,600,0.25714285714285706
43,0.26,600,0.25714285714285706
44,0.28,600,0.25714285714285706
45,0.29,600,0.25714285714285706
46,0.39,600,0.25714285714285706
47,0.49,600,0.25714285714285706
48,0.57,600,0.25714285714285706
49,0.79,600,0.25714285714285706
50,0.36,800,0.25714285714285706
51,0.31,1000,0.25714285714285706
52,0.39,1000,0.25714285714285706
53,0.14,1200,0.25714285714285706
54,0.18,1200,0.25714285714285706
55,0.46,1200,0.25714285714285706
56,0.25,1400,0.25714285714285706
57,0.26,1400,0.25714285714285706
58,0.22,1600,0.25714285714285706
59,0.39,1600,0.25714285714285706
60,0.33,1800,0.25714285714285706
61,0.12,2000,0.25714285714285706
62,0.13,2000,0.25714285714285706
63,0.17,2000,0.25714285714285706
64,0.35,2200,0.25714285714285706
65,0.12,2400,0.25714285714285706
66,0.14,2400,0.25714285714285706
67,0.15,2400,0.25714285714285706
68,0.12,2600,0.25714285714285706
69,0.29,2600,0.25714285714285706
70,0.11,2800,0.25714285714285706
71,0.1,3000,0.25714285714285706
72,0.14,3000,0.25714285714285706
73,0.13,3200,0.25714285714285706
74,0.14,3200,0.25714285714285706
75,0.21,3400,0.25714285714285706
76,0.1,3600,0.25714285714285706
77,0.23,3800,0.25714285714285706
